City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Jiazi,CN,80.47,light rain,22.88,116.07,Hotel Jin Hao
368,La Trinidad,PH,64.89,light rain,16.45,120.59,Paladin Hotel
369,Vila Franca Do Campo,PT,73.4,few clouds,37.72,-25.43,Pestana Bahia Praia
370,Hami,CN,95.11,few clouds,42.8,93.45,Laoyutang Resort
371,Saint-Leu,RE,73.4,few clouds,-21.15,55.28,La Caz Oceane
372,Mitsamiouli,KM,84.2,few clouds,-11.38,43.28,Foyer ADM
373,Kamakwie,SL,76.6,light rain,9.5,-12.23,
374,Talara,PE,63.25,clear sky,-4.58,-81.27,Hostal Oro Negro
375,Saint-Pierre,RE,73.4,few clouds,-21.34,55.48,Lindsey Hôtel
376,Kruisfontein,ZA,87.01,clear sky,-34.0,24.73,Oyster Bay House Rental
377,Saldanha,ZA,71.6,clear sky,-33.01,17.94,Blue Bay Lodge
378,Nova Granada,BR,63.93,clear sky,-20.53,-49.31,Hotel Granada
379,Yantal,RU,77.38,scattered clouds,56.85,105.25,
380,Wenling,CN,86.0,clear sky,28.37,121.36,Hanting Express Wenling Wanchang North Road
381,San Fernando,PH,84.2,broken clouds,15.03,120.69,Maharlika Hostel
382,Teya,RU,76.21,scattered clouds,60.38,92.63,
383,Constitucion,CL,52.25,broken clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
384,Mishkino,RU,88.02,clear sky,55.34,63.92,Ip Klestova
385,Payo,ID,81.05,scattered clouds,-3.75,103.64,Mess keban agung
386,Skibbereen,IE,60.8,broken clouds,51.55,-9.27,The West Cork Hotel
387,Proletariy,RU,67.57,scattered clouds,58.43,31.7,Tri Kita Mihi-Hotel Bronnitsa
388,Flinders,AU,51.01,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
389,Groa,NO,66.2,broken clouds,62.65,8.72,Skogly Camping
390,Oga,IT,66.99,light rain,46.46,10.35,QC Terme Bagni di Bormio Bagni Nuovi
391,Lasa,IT,73.0,broken clouds,46.62,10.7,Pension Feldgärtenhof
392,Praia,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
393,Kaeo,NZ,57.99,overcast clouds,-35.1,173.78,Bushido Lodge
394,Ahuimanu,US,78.8,few clouds,21.44,-157.84,Paradise Bay Resort
395,Kalemie,CD,79.16,broken clouds,-5.95,29.19,Mahobilali
396,Praia Da Vitoria,PT,71.6,scattered clouds,38.73,-27.07,Hotel Branco I
397,Yurgamysh,RU,89.55,clear sky,55.37,64.47,Gostinitsa Uyut
398,Anadyr,RU,48.2,few clouds,64.75,177.48,"Гостиница ""Анадырь"""
399,Naze,JP,84.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
400,Marawi,PH,82.99,light rain,8.0,124.29,Salihmaruhom
401,Abha,SA,78.8,scattered clouds,18.22,42.51,Abha Hotel
402,Itaituba,BR,71.92,clear sky,-4.28,-55.98,Hotel Campos
403,La Libertad,EC,67.19,broken clouds,-2.23,-80.9,Playa Canela Hotel Boutique
404,Cap Malheureux,MU,75.0,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
405,Roald,NO,61.0,light intensity drizzle,62.58,6.13,Flem Cabins
406,Olden,NO,62.6,shower rain,61.84,6.81,Nesset Fjordcamping Olden
407,Verkhniy Avzyan,RU,82.96,broken clouds,53.53,57.54,
408,Jacareacanga,BR,67.6,clear sky,-6.22,-57.75,Casa do Ian😎
409,Zhezkazgan,KZ,95.0,broken clouds,47.8,67.71,Kvartiry Posutochno.
410,Ampanihy,MG,79.05,clear sky,-24.7,44.75,Angora Hotel
411,Omegna,IT,84.0,scattered clouds,45.88,8.41,Albergo Croce Bianca
412,Kalabo,ZM,78.15,clear sky,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
413,Santa Rosalia,MX,86.25,overcast clouds,27.32,-112.28,Hotel Las Casitas Santa Rosalia
414,Majene,ID,80.2,light rain,-3.54,118.97,Kost Putri RABBANI
415,Buala,SB,80.17,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
416,Yerbogachen,RU,73.02,clear sky,61.28,108.01,
417,Alofi,NU,64.4,broken clouds,-19.06,-169.92,Taloa Heights
418,Alice Springs,AU,66.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
419,Gloversville,US,70.0,light rain,43.05,-74.34,Holiday Inn Johnstown-Gloversville
420,Fort Saint James,CA,55.54,broken clouds,54.43,-124.25,The View Hotel
421,Maradi,NE,73.4,thunderstorm with rain,13.5,7.1,NRC office
422,Belmonte,BR,66.2,shower rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
423,Kahului,US,78.8,broken clouds,20.89,-156.47,Maui Seaside Hotel
424,Callaway,US,77.0,clear sky,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
425,Areosa,PT,75.0,scattered clouds,41.72,-8.86,Hotel Flôr de Sal
426,Faya,SA,78.8,scattered clouds,18.39,42.45,مقبرة ال مجمل
427,Komsomolskiy,UZ,91.4,clear sky,40.43,71.72,Ikathouse
428,Kimbe,PG,76.35,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
429,Yinchuan,CN,91.06,overcast clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
430,Changji,CN,93.2,few clouds,44.02,87.32,Lvye Holiday Resort
431,Fray Bentos,UY,63.0,overcast clouds,-33.13,-58.3,Gran Hotel Fray Bentos
432,Mandiana,GN,79.43,light rain,10.63,-8.68,La maison De Metre Malick
433,Atherton,GB,66.99,light rain,53.52,-2.49,The Mercury Motel
434,Jiwani,PK,85.84,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
435,Grand Gaube,MU,75.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
436,Taywarah,AF,80.1,clear sky,33.35,64.42,
437,Tessalit,ML,100.4,few clouds,20.2,1.01,
438,Idrinskoye,RU,69.69,broken clouds,54.37,92.14,
439,Laguna,US,64.4,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
440,Qena,EG,104.0,clear sky,26.16,32.72,"Grand hotel ""Quena"""
441,Jurm,AF,86.09,clear sky,36.86,70.83,
442,Haines Junction,CA,47.52,overcast clouds,60.75,-137.51,Parkside Inn
443,Hamadan,IR,91.4,few clouds,34.8,48.51,Parsian BuAli Hotel
444,Vaitape,PF,79.12,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
445,Dukat,RU,43.38,overcast clouds,62.55,155.55,
446,Fukue,JP,78.8,mist,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
447,Ishigaki,JP,80.6,light intensity shower rain,24.34,124.16,Hotel Peace Land Ishigakijima
448,Vestmanna,FO,51.8,light rain,62.16,-7.17,Budget Guesthouse Borgustova
449,Rapid Valley,US,57.2,clear sky,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
450,Itororo,BR,66.87,broken clouds,-15.12,-40.07,Itajubá Hotel
451,Sept-Iles,CA,60.01,clear sky,50.2,-66.38,Comfort Inn
452,Manta,EC,69.58,overcast clouds,-0.95,-80.73,Balandra Hotel
453,Lindi,TZ,86.07,scattered clouds,-10.0,39.72,Lindi paradise house
454,San Cristobal,VE,65.35,overcast clouds,7.77,-72.22,Pirineos
455,Manono,CD,94.3,scattered clouds,-7.3,27.42,Hotel hewa bora
456,Rubtsovsk,RU,82.45,clear sky,51.5,81.25,Запросто
457,Kamenka,RU,70.05,moderate rain,51.32,42.77,
458,Misratah,LY,90.14,clear sky,32.38,15.09,فندق الماسة
459,Chicama,PE,59.13,clear sky,-7.84,-79.15,Hospedaje Punta Cana PERU
460,Vanderhoof,CA,56.46,overcast clouds,54.02,-124.02,Vanderhoof Inn
461,La Asuncion,VE,89.6,moderate rain,11.03,-63.86,Colinas de Matasiete
462,Okhotsk,RU,56.46,clear sky,59.38,143.3,
463,Isangel,VU,68.31,few clouds,-19.55,169.27,Volcano Sea View Tree House
464,Ulundi,ZA,81.37,clear sky,-28.34,31.42,Ekhethelo Lodge
465,Yaritagua,VE,71.6,overcast clouds,10.08,-69.13,Casa De Flifleyber
466,Sao Pedro,BR,56.35,few clouds,-22.55,-47.91,Hotel Fazenda Samambaia
467,Mezen,RU,51.33,light rain,65.85,44.24,
468,Samarai,PG,76.98,light rain,-10.62,150.67,Nuli Sapi
469,Vao,NC,69.15,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
470,Dunmore East,IE,61.0,broken clouds,52.15,-6.99,The Strand Inn
471,Arona,ES,87.01,clear sky,28.1,-16.68,Paradise Court
472,Ukiah,US,62.6,clear sky,39.15,-123.21,Hampton Inn Ukiah
473,Baturaja,ID,80.1,broken clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
474,North Platte,US,57.99,broken clouds,41.12,-100.77,Holiday Inn Express & Suites North Platte
475,Thunder Bay,CA,59.0,broken clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
476,Alta Floresta,BR,64.94,clear sky,-9.88,-56.09,Floresta Amazonica Hotel
477,Korla,CN,93.22,broken clouds,41.76,86.15,Gulisitan Hotel
478,Harper,LR,76.78,broken clouds,4.38,-7.72,Screensaver
479,Zurrieq,MT,93.2,clear sky,35.83,14.47,Ta' Bertu Host Family Bed & Breakfast
480,Navolato,MX,75.99,broken clouds,24.77,-107.69,Hotel San Francisco
481,Bermejo,AR,59.0,clear sky,-32.88,-68.8,Hotel Mendoza
482,Urdoma,RU,62.24,overcast clouds,61.75,48.54,Vikonda
483,Jiayuguan,CN,84.29,overcast clouds,39.82,98.3,Jiugang Hotel - Jiayuguan
