WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Castro,BR,-24.79,-50.01,49.17,96,27,4.74,scattered clouds
218,Svetlogorsk,BY,52.63,29.73,68.14,59,71,7.4,broken clouds
219,Teguldet,RU,57.31,88.17,76.98,40,0,3.18,clear sky
220,San Patricio,MX,19.22,-104.7,78.49,78,37,3.65,scattered clouds
221,Nurota,UZ,40.56,65.69,95.0,13,0,4.7,clear sky
222,Tupik,RU,54.43,119.93,60.91,93,100,5.53,light rain
223,La Seyne-Sur-Mer,FR,43.1,5.88,95.0,55,19,11.41,few clouds
224,Boblingen,DE,48.68,9.02,75.99,60,40,12.75,thunderstorm
225,Villarrica,PY,-25.75,-56.43,63.91,73,0,7.25,clear sky
226,Camacha,PT,33.08,-16.33,69.8,83,75,14.99,broken clouds
227,Portland,US,45.52,-122.68,64.0,85,0,3.0,clear sky
228,Geraldton,AU,-28.77,114.6,60.8,72,0,11.41,clear sky
229,Gerash,IR,27.67,54.14,105.8,21,20,10.54,few clouds
230,Buchanan,LR,5.88,-10.05,75.2,94,90,6.93,moderate rain
231,Yellowknife,CA,62.46,-114.35,68.0,72,20,13.87,few clouds
232,Banjar,ID,-8.19,114.97,78.8,83,20,12.75,few clouds
233,Iranshahr,IR,27.2,60.68,111.2,20,20,9.17,few clouds
234,Red Bluff,US,40.18,-122.24,69.8,46,1,4.7,clear sky
235,Cabedelo,BR,-6.98,-34.83,73.4,94,90,10.29,light rain
236,El Escorial,ES,40.59,-4.15,90.0,31,0,1.99,clear sky
237,Tres Passos,BR,-27.46,-53.93,59.0,94,0,5.79,clear sky
238,Rio Grande,BR,-32.03,-52.1,54.0,98,33,10.33,scattered clouds
239,Vardo,NO,70.37,31.11,49.95,83,97,12.06,overcast clouds
240,Kununurra,AU,-15.77,128.73,71.6,35,24,3.09,few clouds
241,Yarada,IN,17.65,83.27,87.8,79,75,11.41,mist
242,Bima,ID,-8.47,118.72,73.38,77,66,2.3,broken clouds
243,Male,MV,4.17,73.51,83.28,77,100,15.52,overcast clouds
244,Cherskiy,RU,68.75,161.3,47.25,69,59,5.97,broken clouds
245,Kavaratti,IN,10.57,72.64,82.15,80,82,25.48,moderate rain
246,Yar-Sale,RU,66.83,70.83,70.77,50,19,13.82,few clouds
247,Bandiagara,ML,14.35,-3.61,87.49,51,1,13.56,clear sky
248,Ulaangom,MN,49.98,92.07,68.76,40,61,6.76,broken clouds
249,Nelson,NZ,-41.28,173.28,48.99,85,100,3.0,overcast clouds
250,Hovd,MN,48.01,91.64,67.06,39,25,10.27,scattered clouds
251,Nalut,LY,30.33,10.85,98.26,9,0,6.67,clear sky
252,San Blas,MX,21.52,-105.27,79.02,81,93,2.55,overcast clouds
253,Pachino,IT,36.72,15.09,91.99,68,0,8.3,clear sky
254,Bandarbeyla,SO,9.49,50.81,91.9,38,100,30.02,overcast clouds
255,Qaqortoq,GL,60.72,-46.03,48.2,76,88,3.36,light intensity shower rain
256,Kontagora,NG,10.4,5.47,82.17,72,96,8.25,overcast clouds
257,Port Hedland,AU,-20.32,118.57,71.6,40,0,8.05,clear sky
258,Ahipara,NZ,-35.17,173.17,55.99,87,100,15.95,light rain
259,Georgetown,MY,5.41,100.34,86.0,74,20,5.82,few clouds
260,Saint-Jovite,CA,46.12,-74.6,66.2,88,75,2.24,broken clouds
261,Sola,VU,-13.88,167.55,77.04,89,0,16.87,light rain
262,Arandis,NA,-22.42,14.97,88.95,11,0,19.71,clear sky
263,Berbera,SO,10.44,45.01,98.13,34,79,25.43,broken clouds
264,Anloga,GH,5.79,0.9,82.4,65,40,11.41,scattered clouds
265,Pangnirtung,CA,66.15,-65.71,50.02,65,87,2.17,overcast clouds
266,Vanimo,PG,-2.67,141.3,77.5,83,100,2.33,overcast clouds
267,Arcachon,FR,44.59,-1.05,78.01,60,90,10.29,overcast clouds
268,Necochea,AR,-38.55,-58.74,46.0,97,57,1.99,broken clouds
269,Fortuna,US,40.6,-124.16,57.0,1,3,2.89,clear sky
270,Seymchan,RU,62.88,152.43,50.27,73,21,3.98,few clouds
271,Quatre Cocos,MU,-20.21,57.76,75.2,64,75,14.99,shower rain
272,Victoria,HK,22.29,114.16,82.0,83,100,11.01,overcast clouds
273,Birjand,IR,32.87,59.22,95.0,8,20,18.34,few clouds
274,Kitgum,UG,3.28,32.89,84.27,49,2,6.35,clear sky
275,Santa Engracia,ES,41.94,-1.32,80.6,53,0,21.92,clear sky
276,Qax,AZ,41.42,46.92,89.6,40,3,6.93,light rain
277,Sao Sebastiao,BR,-23.76,-45.41,66.63,82,30,3.53,scattered clouds
278,Caluquembe,AO,-13.78,14.68,81.64,21,3,5.44,clear sky
279,Muroto,JP,33.28,134.15,82.4,88,75,4.7,broken clouds
280,Natal,BR,-5.79,-35.21,73.4,94,40,8.05,scattered clouds
281,Coihaique,CL,-45.58,-72.07,35.6,93,90,3.36,overcast clouds
282,North Bend,US,43.41,-124.22,55.4,100,20,3.36,few clouds
283,Tarauaca,BR,-8.16,-70.77,65.62,73,1,1.92,clear sky
284,Abu Zabad,SD,12.35,29.25,76.6,75,95,14.2,overcast clouds
285,Pemangkat,ID,1.17,108.97,80.62,86,85,12.37,moderate rain
286,Coahuayana,MX,18.73,-103.68,76.37,77,45,3.69,scattered clouds
287,Ust-Tsilma,RU,65.44,52.15,66.9,46,91,3.38,overcast clouds
288,Lagoa,PT,39.05,-27.98,70.99,69,9,9.91,clear sky
289,Mayo,US,38.89,-76.51,79.0,88,90,6.93,overcast clouds
290,Feldkirchen An Der Donau,AT,48.35,14.05,78.8,57,20,8.05,few clouds
291,Dunedin,NZ,-45.87,170.5,52.0,80,100,2.3,overcast clouds
292,Pingliang,CN,35.54,106.69,82.89,48,38,8.14,scattered clouds
293,Baillif,GP,16.02,-61.75,77.0,94,55,2.24,broken clouds
294,Coffs Harbour,AU,-30.3,153.13,53.01,93,0,2.46,clear sky
295,Breytovo,RU,58.3,37.86,62.83,63,100,10.63,light rain
296,Maarianhamina,AX,60.1,19.93,68.0,77,64,11.41,broken clouds
297,Melo,UY,-32.37,-54.18,56.3,88,91,6.55,overcast clouds
298,Ouallam,NE,14.32,2.09,91.29,46,30,17.63,scattered clouds
299,Panaba,MX,21.28,-88.27,75.85,94,1,3.58,clear sky
300,Coquimbo,CL,-29.95,-71.34,46.4,87,5,5.82,clear sky
301,Fecamp,FR,49.76,0.37,69.01,68,75,10.29,broken clouds
302,Paamiut,GL,61.99,-49.67,45.99,95,100,16.84,light rain
303,Tambun,ID,-6.26,107.07,86.0,58,20,5.82,few clouds
304,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,70.84,96,24,0.72,few clouds
305,Lavrentiya,RU,65.58,-171.0,42.01,75,59,9.04,broken clouds
306,Zwijndrecht,NL,51.82,4.63,72.0,67,87,5.01,overcast clouds
307,Bengkulu,ID,-3.8,102.27,80.31,82,54,7.54,broken clouds
308,Gadung,PH,6.8,124.02,81.84,77,98,5.19,light rain
309,Dalianwan,CN,39.03,121.69,77.0,88,75,8.95,broken clouds
310,Uwajima,JP,33.22,132.56,80.6,78,75,3.36,broken clouds
311,Xiongzhou,CN,25.12,114.3,80.83,83,53,3.89,moderate rain
312,Port Lincoln,AU,-34.73,135.87,53.67,77,100,10.2,overcast clouds
313,Kamaishi,JP,39.27,141.88,75.2,83,75,5.82,broken clouds
314,Mantua,IT,45.17,10.78,88.0,64,42,5.99,scattered clouds
315,Halkirk,CA,52.28,-112.15,61.0,74,81,10.0,broken clouds
316,Bamiantong,CN,44.93,130.53,71.82,89,78,7.05,broken clouds
317,Sadat,IN,25.68,83.28,93.2,63,75,5.82,haze
318,Karasjok,NO,69.47,25.51,53.6,71,75,6.93,broken clouds
319,Kurilsk,RU,45.23,147.88,61.16,88,96,10.83,overcast clouds
320,Sembakung,ID,3.82,117.25,76.41,91,88,3.09,overcast clouds
321,Nobres,BR,-14.72,-56.33,67.28,44,7,4.72,clear sky
322,Jawhar,SO,2.78,45.5,88.11,45,69,22.53,broken clouds
323,Anderson,US,34.53,-82.65,73.4,88,1,3.36,clear sky
324,Buxton,GB,53.26,-1.91,68.0,75,40,1.99,scattered clouds
325,Inhambane,MZ,-23.86,35.38,75.2,44,40,4.7,scattered clouds
326,Ewa Beach,US,21.32,-158.01,78.8,64,1,4.7,clear sky
327,Kyabe,TD,9.45,18.94,73.26,95,99,5.82,light rain
328,Naujoji Akmene,LT,56.32,22.9,69.8,49,91,3.36,overcast clouds
329,Joao Pinheiro,BR,-17.74,-46.17,64.47,62,29,9.19,scattered clouds
330,Baft,IR,29.23,56.61,85.62,19,59,3.11,broken clouds
331,Sakakah,SA,29.97,40.21,104.0,11,0,13.87,clear sky
332,Tigre,AR,-34.43,-58.58,66.2,77,100,9.17,overcast clouds
333,Puri,IN,19.8,85.85,95.0,63,40,4.7,haze
334,Guadalajara,MX,20.67,-103.33,61.0,87,75,3.36,moderate rain
335,Usvyaty,RU,55.75,30.75,67.82,48,9,5.97,clear sky
336,Tshikapa,CD,-6.42,20.8,95.74,22,94,4.36,overcast clouds
337,Oranjestad,AW,12.52,-70.03,82.4,88,75,13.87,broken clouds
338,Tete,MZ,-16.16,33.59,78.8,39,75,8.05,broken clouds
339,Orumiyeh,IR,37.55,45.08,87.8,31,20,11.41,few clouds
340,Saint-Georges,GD,12.06,-61.75,77.0,94,75,13.87,light rain
341,Spirit River,CA,55.78,-118.84,62.01,100,75,5.82,broken clouds
342,Kazachinskoye,RU,57.7,93.28,74.71,73,98,2.28,light rain
343,Ayan,RU,56.45,138.17,53.31,86,31,4.12,scattered clouds
344,Rocha,UY,-34.48,-54.33,56.61,87,94,12.91,overcast clouds
345,Saint Anthony,US,45.02,-93.22,64.4,77,20,11.41,few clouds
346,Gilbues,BR,-9.83,-45.34,69.87,59,13,13.82,few clouds
347,Itaparica,BR,-12.89,-38.68,73.4,83,75,17.22,light rain
348,Tahta,EG,26.77,31.5,102.2,14,0,11.41,clear sky
349,La Plata,AR,-34.92,-57.95,64.0,81,100,3.0,overcast clouds
350,Sisimiut,GL,66.94,-53.67,50.52,77,94,4.23,overcast clouds
351,Half Moon Bay,US,37.46,-122.43,59.0,100,90,6.93,mist
352,Aklavik,CA,68.22,-135.01,50.0,87,90,6.93,overcast clouds
353,Bayji,IQ,34.93,43.49,110.5,9,0,9.86,clear sky
354,Wahiawa,US,21.5,-158.02,78.01,69,40,3.36,scattered clouds
355,Kenitra,MA,34.26,-6.58,80.6,69,40,8.05,scattered clouds
356,Port-Gentil,GA,-0.72,8.78,80.6,74,75,10.45,broken clouds
357,Uyuni,BO,-20.46,-66.83,32.63,69,1,0.63,clear sky
358,Waipawa,NZ,-41.41,175.52,50.0,87,100,8.05,overcast clouds
359,Longyearbyen,SJ,78.22,15.64,46.4,93,75,3.36,broken clouds
360,Jensen Beach,US,27.25,-80.23,82.0,83,90,20.8,moderate rain
361,San Quintin,MX,30.48,-115.95,71.28,78,0,1.43,clear sky
362,Yulara,AU,-25.24,130.99,59.0,13,40,5.82,scattered clouds
363,Nizhniy Tsasuchey,RU,50.52,115.13,69.76,76,65,17.07,light rain
364,Caravelas,BR,-17.71,-39.25,71.6,80,5,8.34,light rain
365,Batemans Bay,AU,-35.72,150.18,46.99,91,52,3.58,broken clouds
366,Xingyi,CN,24.19,102.82,68.88,89,78,4.05,light rain
367,Jiazi,CN,22.88,116.07,80.47,87,94,7.09,light rain
368,La Trinidad,PH,16.45,120.59,64.89,100,100,2.75,light rain
369,Vila Franca Do Campo,PT,37.72,-25.43,73.4,69,20,8.05,few clouds
370,Hami,CN,42.8,93.45,95.11,9,17,3.69,few clouds
371,Saint-Leu,RE,-21.15,55.28,73.4,56,20,19.46,few clouds
372,Mitsamiouli,KM,-11.38,43.28,84.2,62,20,16.11,few clouds
373,Kamakwie,SL,9.5,-12.23,76.6,92,100,2.86,light rain
374,Talara,PE,-4.58,-81.27,63.25,83,0,15.28,clear sky
375,Saint-Pierre,RE,-21.34,55.48,73.4,56,20,19.46,few clouds
376,Kruisfontein,ZA,-34.0,24.73,87.01,15,0,5.99,clear sky
377,Saldanha,ZA,-33.01,17.94,71.6,35,0,10.29,clear sky
378,Nova Granada,BR,-20.53,-49.31,63.93,55,0,7.63,clear sky
379,Yantal,RU,56.85,105.25,77.38,49,27,6.4,scattered clouds
380,Wenling,CN,28.37,121.36,86.0,54,5,6.96,clear sky
381,San Fernando,PH,15.03,120.69,84.2,78,75,2.24,broken clouds
382,Teya,RU,60.38,92.63,76.21,40,48,2.62,scattered clouds
383,Constitucion,CL,-35.33,-72.42,52.25,89,66,3.04,broken clouds
384,Mishkino,RU,55.34,63.92,88.02,40,0,13.4,clear sky
385,Payo,ID,-3.75,103.64,81.05,65,44,3.04,scattered clouds
386,Skibbereen,IE,51.55,-9.27,60.8,63,75,8.05,broken clouds
387,Proletariy,RU,58.43,31.7,67.57,51,40,7.05,scattered clouds
388,Flinders,AU,-34.58,150.86,51.01,77,89,1.01,overcast clouds
389,Groa,NO,62.65,8.72,66.2,72,75,6.93,broken clouds
390,Oga,IT,46.46,10.35,66.99,100,90,1.12,light rain
391,Lasa,IT,46.62,10.7,73.0,87,75,6.93,broken clouds
392,Praia,CV,14.92,-23.51,82.4,78,75,10.29,broken clouds
393,Kaeo,NZ,-35.1,173.78,57.99,3,100,11.01,overcast clouds
394,Ahuimanu,US,21.44,-157.84,78.8,69,20,10.29,few clouds
395,Kalemie,CD,-5.95,29.19,79.16,44,79,12.77,broken clouds
396,Praia Da Vitoria,PT,38.73,-27.07,71.6,73,40,6.38,scattered clouds
397,Yurgamysh,RU,55.37,64.47,89.55,33,0,13.04,clear sky
398,Anadyr,RU,64.75,177.48,48.2,87,20,4.47,few clouds
399,Naze,JP,28.37,129.48,84.2,74,75,8.05,broken clouds
400,Marawi,PH,8.0,124.29,82.99,83,100,7.0,light rain
401,Abha,SA,18.22,42.51,78.8,65,40,13.87,scattered clouds
402,Itaituba,BR,-4.28,-55.98,71.92,63,1,1.57,clear sky
403,La Libertad,EC,-2.23,-80.9,67.19,88,58,5.61,broken clouds
404,Cap Malheureux,MU,-19.98,57.61,75.0,68,71,11.99,broken clouds
405,Roald,NO,62.58,6.13,61.0,87,75,9.17,light intensity drizzle
406,Olden,NO,61.84,6.81,62.6,82,75,4.7,shower rain
407,Verkhniy Avzyan,RU,53.53,57.54,82.96,47,77,4.38,broken clouds
408,Jacareacanga,BR,-6.22,-57.75,67.6,61,0,3.22,clear sky
409,Zhezkazgan,KZ,47.8,67.71,95.0,19,75,13.42,broken clouds
410,Ampanihy,MG,-24.7,44.75,79.05,30,0,14.52,clear sky
411,Omegna,IT,45.88,8.41,84.0,53,30,1.99,scattered clouds
412,Kalabo,ZM,-14.97,22.68,78.15,19,0,10.33,clear sky
413,Santa Rosalia,MX,27.32,-112.28,86.25,52,99,5.55,overcast clouds
414,Majene,ID,-3.54,118.97,80.2,79,93,2.77,light rain
415,Buala,SB,-8.14,159.59,80.17,78,34,3.2,scattered clouds
416,Yerbogachen,RU,61.28,108.01,73.02,53,0,6.24,clear sky
417,Alofi,NU,-19.06,-169.92,64.4,88,79,1.12,broken clouds
418,Alice Springs,AU,-23.7,133.88,66.2,13,0,6.93,clear sky
419,Gloversville,US,43.05,-74.34,70.0,100,90,3.36,light rain
420,Fort Saint James,CA,54.43,-124.25,55.54,69,56,4.05,broken clouds
421,Maradi,NE,13.5,7.1,73.4,100,40,6.93,thunderstorm with rain
422,Belmonte,BR,-15.86,-38.88,66.2,93,75,5.82,shower rain
423,Kahului,US,20.89,-156.47,78.8,65,75,11.41,broken clouds
424,Callaway,US,30.15,-85.57,77.0,94,1,4.7,clear sky
425,Areosa,PT,41.72,-8.86,75.0,77,41,4.7,scattered clouds
426,Faya,SA,18.39,42.45,78.8,65,40,13.87,scattered clouds
427,Komsomolskiy,UZ,40.43,71.72,91.4,18,0,9.17,clear sky
428,Kimbe,PG,-5.55,150.14,76.35,80,27,6.98,scattered clouds
429,Yinchuan,CN,38.47,106.27,91.06,12,98,2.39,overcast clouds
430,Changji,CN,44.02,87.32,93.2,13,19,11.18,few clouds
431,Fray Bentos,UY,-33.13,-58.3,63.0,85,100,8.01,overcast clouds
432,Mandiana,GN,10.63,-8.68,79.43,81,43,4.94,light rain
433,Atherton,GB,53.52,-2.49,66.99,60,74,8.01,light rain
434,Jiwani,PK,25.05,61.74,85.84,76,1,14.16,clear sky
