WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
519,Basoko,CD,1.24,23.62,84.04,69,100,2.91,moderate rain
520,Colquechaca,BO,-18.67,-66.02,26.67,89,0,3.18,clear sky
521,Sharjah,AE,25.36,55.4,107.6,38,8,9.17,clear sky
522,Cuiluan,CN,47.72,128.65,77.63,66,95,5.08,overcast clouds
523,Manaus,BR,-3.1,-60.02,80.6,78,75,3.36,broken clouds
524,Wanaka,NZ,-44.7,169.15,48.99,79,100,1.99,overcast clouds
525,Vestmannaeyjar,IS,63.44,-20.27,51.8,93,75,13.87,broken clouds
526,Vung Tau,VN,10.35,107.08,82.29,80,100,19.44,light rain
527,Pore,CO,5.73,-71.99,70.27,74,43,2.93,scattered clouds
528,Berlevag,NO,70.86,29.09,49.87,80,96,7.85,overcast clouds
529,Viedma,AR,-40.81,-63.0,45.19,64,0,10.27,clear sky
530,Manadhoo,MV,5.77,73.38,83.21,79,92,17.2,overcast clouds
531,Rock Sound,BS,24.9,-76.2,83.55,80,100,26.42,light rain
532,Brigantine,US,39.41,-74.36,78.8,83,90,11.41,overcast clouds
533,Ucluelet,CA,48.93,-125.55,57.0,90,87,3.4,overcast clouds
534,Qingdao,CN,36.1,120.37,84.0,83,40,11.18,scattered clouds
535,Winneba,GH,5.35,-0.62,80.6,69,40,11.41,scattered clouds
536,Manggar,ID,-2.88,108.27,81.09,79,61,8.16,broken clouds
537,Vzmorye,RU,54.7,20.24,69.8,68,40,6.71,scattered clouds
538,Mariental,NA,-24.63,17.97,77.02,16,0,19.71,clear sky
539,Jumla,NP,29.27,82.18,75.99,94,92,3.98,light rain
540,Alto Araguaia,BR,-17.31,-53.22,65.77,54,0,6.06,clear sky
541,Saryg-Sep,RU,51.5,95.6,64.11,65,96,4.34,overcast clouds
542,Leeton,AU,-34.57,146.4,48.99,81,46,3.71,scattered clouds
543,Vila,PT,42.03,-8.16,75.0,53,80,10.0,broken clouds
544,Kitimat,CA,54.05,-128.65,59.99,81,100,1.25,light rain
545,Biak,ID,-0.91,122.88,76.14,85,96,3.87,light rain
546,Carangola,BR,-20.73,-42.03,62.37,81,38,1.92,scattered clouds
547,Byron Bay,AU,-28.65,153.62,59.0,93,0,3.13,clear sky
548,Fort Dodge,US,42.5,-94.17,64.4,93,20,5.82,few clouds
549,Ende,ID,-8.84,121.66,72.88,73,11,2.19,few clouds
550,Yangjiang,CN,21.85,111.97,78.94,93,100,5.39,moderate rain
551,Roma,US,43.21,-75.46,68.0,88,90,13.87,heavy intensity rain
552,Broken Hill,AU,-31.95,141.43,55.4,30,25,4.85,scattered clouds
553,Merauke,ID,-8.47,140.33,77.47,73,54,15.86,broken clouds
554,Atkarsk,RU,51.87,45.01,69.51,56,75,5.23,broken clouds
555,Baruun-Urt,MN,46.68,113.28,65.95,64,65,11.07,broken clouds
556,Owando,CG,-0.48,15.9,88.72,50,100,5.75,overcast clouds
557,La Tuque,CA,47.43,-72.78,64.11,85,95,2.91,overcast clouds
558,Andra,RU,62.51,65.89,76.32,44,77,14.23,broken clouds
559,Soyo,AO,-6.13,12.37,76.41,69,100,5.44,overcast clouds
560,Najran,SA,17.49,44.13,102.2,27,40,6.93,scattered clouds
561,Avera,US,33.19,-82.53,71.6,72,1,5.59,clear sky
562,Fengrun,CN,39.83,118.12,79.74,78,54,6.62,heavy intensity rain
563,Chabahar,IR,25.29,60.64,86.0,75,1,15.1,clear sky
564,Xuddur,SO,4.12,43.89,86.07,38,34,23.35,scattered clouds
565,Kloulklubed,PW,7.04,134.26,82.4,83,75,3.36,broken clouds
566,Port Macquarie,AU,-31.43,152.92,51.01,95,13,4.18,few clouds
567,Kapuskasing,CA,49.42,-82.43,50.0,93,90,12.75,mist
568,Sinnamary,GF,5.38,-52.95,77.67,85,87,7.09,light rain
569,Zhigansk,RU,66.77,123.37,65.64,45,24,12.48,few clouds
