City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Qui Nhon,VN,2020-07-31 10:20:08,13.77,109.23,81.68,82,100,5.46
61,Fort Frances,CA,2020-07-31 10:20:09,48.6,-93.4,48.2,93,1,1.97
62,Atuona,PF,2020-07-31 10:20:10,-9.8,-139.03,78.57,72,28,22.66
63,Mount Gambier,AU,2020-07-31 10:20:10,-37.83,140.77,48.2,87,100,8.05
64,Nishihara,JP,2020-07-31 10:20:10,26.18,127.76,86.0,79,40,12.75
65,Clyde River,CA,2020-07-31 10:20:10,70.47,-68.59,39.2,100,90,5.82
66,Channel-Port Aux Basques,CA,2020-07-31 10:20:10,47.57,-59.14,63.07,92,90,12.46
67,Saldanha,ZA,2020-07-31 10:20:10,-33.01,17.94,68.0,66,0,1.12
68,Katsuura,JP,2020-07-31 10:20:10,35.13,140.3,78.01,83,15,6.46
69,Esperance,AU,2020-07-31 10:20:10,-33.87,121.9,55.4,100,90,5.82
70,Barrow,US,2020-07-31 10:20:11,71.29,-156.79,37.4,93,90,9.17
71,Bathsheba,BB,2020-07-31 10:20:11,13.22,-59.52,78.8,83,20,8.05
72,Korla,CN,2020-07-31 10:20:11,41.76,86.15,87.24,18,0,1.9
73,Cayenne,GF,2020-07-31 10:20:11,4.93,-52.33,75.2,100,66,2.24
74,Tshikapa,CD,2020-07-31 10:20:11,-6.42,20.8,97.07,15,0,6.85
75,Constitucion,CL,2020-07-31 10:20:11,-35.33,-72.42,49.06,78,25,2.59
76,Sobolevo,RU,2020-07-31 10:20:12,54.43,31.9,62.58,75,49,11.45
77,Port Alfred,ZA,2020-07-31 10:20:12,-33.59,26.89,67.59,45,0,3.94
78,Ghatanji,IN,2020-07-31 10:20:12,20.13,78.32,92.44,53,100,4.94
79,Moranbah,AU,2020-07-31 10:20:12,-22.0,148.05,60.46,61,0,10.18
80,Port Keats,AU,2020-07-31 10:20:12,-14.25,129.55,73.11,44,15,4.7
81,Santa Maria,BR,2020-07-31 10:20:12,-29.68,-53.81,45.91,92,1,5.26
82,Muisne,EC,2020-07-31 10:20:13,0.6,-80.03,74.28,90,100,7.47
83,Saskylakh,RU,2020-07-31 10:20:13,71.92,114.08,70.18,44,22,4.25
84,Hasaki,JP,2020-07-31 10:20:13,35.73,140.83,75.99,94,75,5.82
85,Tasiilaq,GL,2020-07-31 10:20:13,65.61,-37.64,42.8,87,5,3.36
86,San Andres,CO,2020-07-31 10:20:13,12.58,-81.7,80.6,94,75,4.5
87,Dudinka,RU,2020-07-31 10:20:13,69.41,86.18,75.2,38,38,22.37
88,Qaanaaq,GL,2020-07-31 10:20:13,77.48,-69.36,38.39,73,0,4.88
